Player_ID,Team_Name,Player_Name,apps,assistTotal,keyPassPerGame,totalPassesPerGame,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating,passSuccess
5583,Portugal,Cristiano Ronaldo,38,0,0.2,18.6,0.2,0.6,,7.006,91.39784946236558
8280,Scotland,Craig Gordon,8,0,,27.666666666666668,,6.055555555555556,,6.4127777777777775,52.843902332393384
11119,Argentina,Lionel Messi,41,8,2.5166666666666666,42.35238095238095,1.0928571428571427,1.9761904761904763,0.6428571428571428,7.8121190476190465,83.43100209066425
13754,Germany,Manuel Neuer,43,0,,30.779545454545453,,6.434090909090909,,6.387704545454545,81.13579004003853
20874,Croatia,Luka Modric,55,5,1.097222222222222,46.213235294117645,0.687091503267974,2.975490196078431,0.2647058823529411,6.715343137254902,89.43525590228346
25191,Belgium,Axel Witsel,39,2,0.53125,28.270833333333332,,1.25,,6.576354166666667,93.0561533803649
26236,Sweden,Kristoffer Nordfeldt,20,1,0.5,26.0,,6.25,,6.6175,53.720238095238095
30966,Uruguay,Fernando Muslera,9,0,,30.0,,4.0,,5.72,96.66666666666669
34069,Haiti,Johny Placide,34,0,,31.0,,6.0,,6.28,64.51612903225806
34350,New Zealand,Kosta Barbarouses,24,0,,,,,,,
34693,Austria,Marko Arnautovic,26,3,1.1476190476190478,18.78571428571429,,0.7,0.1,6.879190476190476,79.00990431425214
36469,New Zealand,Tommy Smith,18,0,,,,,,,
36745,Colombia,David Ospina,4,0,,,,,,,
37188,Japan,Yuto Nagatomo,11,0,,,,,,,
37757,Qatar,Hassan Al Haydos,6,0,,2.0,,,,6.09,50.0
39187,Norway,Ørjan Nyland,18,0,,27.474999999999998,,6.391666666666667,,6.281583333333334,73.13424222219766
39722,Austria,David Alaba,25,1,1.375,46.42234848484849,1.25,3.0814393939393945,,6.476382575757576,89.50184157466168
42898,New Zealand,Michael Boxall,12,0,,37.285714285714285,0.1428571428571428,1.0714285714285714,,6.393571428571429,93.19630138697988
43670,Qatar,Lucas Mendes,5,0,,,,,,,
44714,Turkiye,Mert Günok,18,0,,20.5375,,3.125,,6.20975,68.08928571428572
50835,Brazil,Neymar,17,2,2.125,39.25,1.0,1.75,0.125,6.9925,73.88535031847134
53362,Colombia,Camilo Vargas,24,0,,33.166666666666664,,6.0,,6.798333333333335,65.82914572864321
61610,Switzerland,Ricardo Rodríguez,43,1,0.8538647342995169,43.794082125603865,0.5760869565217391,1.7977053140096615,2.0,6.768333333333334,86.10353089921261
67114,Curacao,Eloy Room,20,0,,28.0,,4.0,,5.28,50.0
67491,Ghana,Jordan Ayew,59,3,0.6428571428571429,8.142857142857142,0.3095238095238095,0.119047619047619,0.0238095238095238,6.166428571428572,78.97286821705427
68659,England,Jordan Henderson,43,3,0.3802083333333333,35.67708333333333,0.43229166666666663,1.6927083333333335,0.0625,6.423697916666667,85.62892386775695
70291,DR Congo,Gaël Kakuta,14,1,1.0,18.0,,,0.5,7.300000000000001,75.0
70524,Croatia,Ivan Perisic,52,17,1.7027777777777777,28.48888888888889,1.1555555555555557,1.136111111111111,0.0958333333333333,7.192583333333334,77.9041811552139
71182,Colombia,James Rodríguez,47,8,2.833333333333333,35.25,2.75,1.8333333333333335,0.41666666666666663,7.355,85.04594820384294
71824,Germany,Pascal Groß,44,5,1.079824561403509,43.8111004784689,0.8914673046251993,2.1813716108452947,0.0909090909090909,6.608756618819777,87.75098601028608
71968,South Korea,Kim Seung-Gyu,13,0,,34.0,,8.0,,6.33,55.88235294117647
72982,Iran,Valon Berisha,17,0,,21.0,,2.1666666666666665,,6.076666666666666,84.31372549019608
73084,Belgium,Kevin De Bruyne,34,7,2.3666666666666667,38.55555555555556,1.2333333333333334,2.194444444444444,0.3611111111111111,7.259111111111112,82.51329653623029
73380,New Zealand,Chris Wood,22,2,1.511111111111111,12.111111111111112,,0.1333333333333333,,6.740666666666667,70.79442494894823
73798,Belgium,Thibaut Courtois,59,2,0.1065340909090909,25.13904671717172,,3.3628472222222228,,6.795031565656566,80.06522081895163
74790,Cape Verde,Ryan Mendes,16,0,0.5,17.375,0.5,0.75,,6.35125,72.6782752902156
75217,Croatia,Andrej Kramaric,48,7,0.9669117647058824,27.735294117647058,0.43014705882352944,0.5882352941176471,0.0294117647058823,7.050294117647058,88.15846183315774
75691,Argentina,Nicolás Otamendi,78,1,0.4833333333333334,47.616666666666674,0.25,3.3625,,6.977666666666666,90.38733320146974
77440,Germany,Oliver Baumann,44,0,0.0294117647058823,36.279411764705884,,4.362745098039215,,6.627254901960784,76.40062597809077
