date,team_1,team_2,team_1_score,team_2_score,tournament,winner
18-11-2023,South Africa,Benin,2.0,1.0,FIFA World Cup qualification,South Africa
18-11-2023,Germany,Turkey,2.0,3.0,Friendly,Turkey
18-11-2023,France,Gibraltar,14.0,0.0,UEFA Euro qualification,France
18-11-2023,Netherlands,Republic of Ireland,1.0,0.0,UEFA Euro qualification,Netherlands
18-11-2023,Latvia,Croatia,0.0,2.0,UEFA Euro qualification,Croatia
18-11-2023,Switzerland,Kosovo,1.0,1.0,UEFA Euro qualification,Draw
19-11-2023,Sierra Leone,Egypt,0.0,2.0,FIFA World Cup qualification,Egypt
19-11-2023,Sudan,DR Congo,1.0,0.0,FIFA World Cup qualification,Sudan
19-11-2023,Mozambique,Algeria,0.0,2.0,FIFA World Cup qualification,Algeria
19-11-2023,Scotland,Norway,3.0,3.0,UEFA Euro qualification,Draw
19-11-2023,Spain,Georgia,3.0,1.0,UEFA Euro qualification,Spain
19-11-2023,Belgium,Azerbaijan,5.0,0.0,UEFA Euro qualification,Belgium
19-11-2023,Sweden,Estonia,2.0,0.0,UEFA Euro qualification,Sweden
19-11-2023,Portugal,Iceland,2.0,0.0,UEFA Euro qualification,Portugal
19-11-2023,Bosnia and Herzegovina,Slovakia,1.0,2.0,UEFA Euro qualification,Slovakia
20-11-2023,Panama,Costa Rica,3.0,1.0,CONCACAF Nations League,Panama
20-11-2023,Gambia,Ivory Coast,0.0,2.0,FIFA World Cup qualification,Ivory Coast
20-11-2023,Curaçao,El Salvador,1.0,1.0,Friendly,Draw
20-11-2023,North Macedonia,England,1.0,1.0,UEFA Euro qualification,Draw
20-11-2023,Czech Republic,Moldova,3.0,0.0,UEFA Euro qualification,Czech Republic
21-11-2023,Canada,Jamaica,2.0,3.0,CONCACAF Nations League,Jamaica
21-11-2023,Mexico,Honduras,2.0,0.0,CONCACAF Nations League,Mexico
21-11-2023,Ecuador,Chile,1.0,0.0,FIFA World Cup qualification,Ecuador
21-11-2023,Paraguay,Colombia,0.0,1.0,FIFA World Cup qualification,Colombia
21-11-2023,Uruguay,Bolivia,3.0,0.0,FIFA World Cup qualification,Uruguay
21-11-2023,Brazil,Argentina,0.0,1.0,FIFA World Cup qualification,Argentina
21-11-2023,India,Qatar,0.0,3.0,FIFA World Cup qualification,Qatar
21-11-2023,Syria,Japan,0.0,5.0,FIFA World Cup qualification,Japan
21-11-2023,China,South Korea,0.0,3.0,FIFA World Cup qualification,South Korea
21-11-2023,Uzbekistan,Iran,2.0,2.0,FIFA World Cup qualification,Draw
21-11-2023,Vietnam,Iraq,0.0,1.0,FIFA World Cup qualification,Iraq
21-11-2023,Jordan,Saudi Arabia,0.0,2.0,FIFA World Cup qualification,Saudi Arabia
21-11-2023,Palestine,Australia,0.0,1.0,FIFA World Cup qualification,Australia
21-11-2023,Togo,Senegal,0.0,0.0,FIFA World Cup qualification,Draw
21-11-2023,Rwanda,South Africa,2.0,0.0,FIFA World Cup qualification,Rwanda
21-11-2023,Eswatini,Cape Verde,0.0,2.0,FIFA World Cup qualification,Cape Verde
21-11-2023,Tanzania,Morocco,0.0,2.0,FIFA World Cup qualification,Morocco
21-11-2023,Malawi,Tunisia,0.0,1.0,FIFA World Cup qualification,Tunisia
21-11-2023,Comoros,Ghana,1.0,0.0,FIFA World Cup qualification,Comoros
21-11-2023,Austria,Germany,2.0,0.0,Friendly,Austria
21-11-2023,Republic of Ireland,New Zealand,1.0,1.0,Friendly,Draw
21-11-2023,Gibraltar,Netherlands,0.0,6.0,UEFA Euro qualification,Netherlands
21-11-2023,Greece,France,2.0,2.0,UEFA Euro qualification,Draw
21-11-2023,Wales,Turkey,1.0,1.0,UEFA Euro qualification,Draw
21-11-2023,Croatia,Armenia,1.0,0.0,UEFA Euro qualification,Croatia
21-11-2023,Romania,Switzerland,1.0,0.0,UEFA Euro qualification,Romania
16-12-2023,Mexico,Colombia,2.0,3.0,Friendly,Colombia
01-01-2024,Japan,Thailand,5.0,0.0,Friendly,Japan
04-01-2024,Saudi Arabia,Lebanon,1.0,0.0,Friendly,Saudi Arabia
05-01-2024,Iran,Burkina Faso,2.0,1.0,Friendly,Iran
05-01-2024,Qatar,Jordan,1.0,2.0,Friendly,Jordan
05-01-2024,Togo,Algeria,0.0,3.0,Friendly,Algeria
06-01-2024,DR Congo,Angola,0.0,0.0,Friendly,Draw
06-01-2024,Iraq,South Korea,0.0,1.0,Friendly,South Korea
06-01-2024,Bahrain,Australia,0.0,2.0,Friendly,Australia
06-01-2024,Ivory Coast,Sierra Leone,5.0,1.0,Friendly,Ivory Coast
06-01-2024,Tunisia,Mauritania,0.0,0.0,Friendly,Draw
07-01-2024,Uzbekistan,Palestine,1.0,0.0,Friendly,Uzbekistan
07-01-2024,Egypt,Tanzania,2.0,0.0,Friendly,Egypt
08-01-2024,Senegal,Niger,1.0,0.0,Friendly,Senegal
08-01-2024,Ghana,Namibia,0.0,0.0,Friendly,Draw
09-01-2024,Japan,Jordan,6.0,1.0,Friendly,Japan
09-01-2024,Saudi Arabia,Palestine,0.0,0.0,Friendly,Draw
09-01-2024,Burundi,Algeria,0.0,4.0,Friendly,Algeria
09-01-2024,Indonesia,Iran,0.0,5.0,Friendly,Iran
10-01-2024,South Africa,Lesotho,0.0,0.0,Friendly,Draw
10-01-2024,DR Congo,Burkina Faso,1.0,2.0,Friendly,Burkina Faso
10-01-2024,Saudi Arabia,Hong Kong,2.0,0.0,Friendly,Saudi Arabia
10-01-2024,Tunisia,Cape Verde,2.0,0.0,Friendly,Tunisia
11-01-2024,Morocco,Sierra Leone,3.0,1.0,Friendly,Morocco
12-01-2024,Qatar,Lebanon,3.0,0.0,AFC Asian Cup,Qatar
12-01-2024,Sweden,Estonia,2.0,1.0,Friendly,Sweden
13-01-2024,Australia,India,2.0,0.0,AFC Asian Cup,Australia
13-01-2024,Uzbekistan,Syria,0.0,0.0,AFC Asian Cup,Draw
13-01-2024,Ivory Coast,Guinea-Bissau,2.0,0.0,African Cup of Nations,Ivory Coast
14-01-2024,Iran,Palestine,4.0,1.0,AFC Asian Cup,Iran
14-01-2024,Japan,Vietnam,4.0,2.0,AFC Asian Cup,Japan
14-01-2024,Egypt,Mozambique,2.0,2.0,African Cup of Nations,Draw
14-01-2024,Ghana,Cape Verde,1.0,2.0,African Cup of Nations,Cape Verde
15-01-2024,Indonesia,Iraq,1.0,3.0,AFC Asian Cup,Iraq
15-01-2024,South Korea,Bahrain,3.0,1.0,AFC Asian Cup,South Korea
15-01-2024,Malaysia,Jordan,0.0,4.0,AFC Asian Cup,Jordan
15-01-2024,Senegal,Gambia,3.0,0.0,African Cup of Nations,Senegal
15-01-2024,Algeria,Angola,1.0,1.0,African Cup of Nations,Draw
16-01-2024,Saudi Arabia,Oman,2.0,1.0,AFC Asian Cup,Saudi Arabia
16-01-2024,Tunisia,Namibia,0.0,1.0,African Cup of Nations,Namibia
16-01-2024,Mali,South Africa,2.0,0.0,African Cup of Nations,Mali
17-01-2024,Qatar,Tajikistan,1.0,0.0,AFC Asian Cup,Qatar
17-01-2024,Morocco,Tanzania,3.0,0.0,African Cup of Nations,Morocco
17-01-2024,DR Congo,Zambia,1.0,1.0,African Cup of Nations,Draw
18-01-2024,Syria,Australia,0.0,1.0,AFC Asian Cup,Australia
18-01-2024,India,Uzbekistan,0.0,3.0,AFC Asian Cup,Uzbekistan
18-01-2024,Ivory Coast,Nigeria,0.0,1.0,African Cup of Nations,Nigeria
18-01-2024,Egypt,Ghana,2.0,2.0,African Cup of Nations,Draw
19-01-2024,Hong Kong,Iran,0.0,1.0,AFC Asian Cup,Iran
19-01-2024,Iraq,Japan,2.0,1.0,AFC Asian Cup,Iraq
19-01-2024,Cape Verde,Mozambique,3.0,0.0,African Cup of Nations,Cape Verde
19-01-2024,Senegal,Cameroon,3.0,1.0,African Cup of Nations,Senegal
20-01-2024,Jordan,South Korea,2.0,2.0,AFC Asian Cup,Draw
20-01-2024,Algeria,Burkina Faso,2.0,2.0,African Cup of Nations,Draw
20-01-2024,Tunisia,Mali,1.0,1.0,African Cup of Nations,Draw
21-01-2024,Kyrgyzstan,Saudi Arabia,0.0,2.0,AFC Asian Cup,Saudi Arabia
21-01-2024,South Africa,Namibia,4.0,0.0,African Cup of Nations,South Africa
21-01-2024,Morocco,DR Congo,1.0,1.0,African Cup of Nations,Draw
22-01-2024,Qatar,China,1.0,0.0,AFC Asian Cup,Qatar
22-01-2024,Ivory Coast,Equatorial Guinea,0.0,4.0,African Cup of Nations,Equatorial Guinea
22-01-2024,Cape Verde,Egypt,2.0,2.0,African Cup of Nations,Draw
22-01-2024,Mozambique,Ghana,2.0,2.0,African Cup of Nations,Draw
23-01-2024,Australia,Uzbekistan,1.0,1.0,AFC Asian Cup,Draw
23-01-2024,Iran,United Arab Emirates,2.0,1.0,AFC Asian Cup,Iran
23-01-2024,Guinea,Senegal,0.0,2.0,African Cup of Nations,Senegal
23-01-2024,Mauritania,Algeria,1.0,0.0,African Cup of Nations,Mauritania
24-01-2024,Iraq,Vietnam,3.0,2.0,AFC Asian Cup,Iraq
24-01-2024,Japan,Indonesia,3.0,1.0,AFC Asian Cup,Japan
24-01-2024,South Africa,Tunisia,0.0,0.0,African Cup of Nations,Draw
24-01-2024,Tanzania,DR Congo,0.0,0.0,African Cup of Nations,Draw
24-01-2024,Zambia,Morocco,0.0,1.0,African Cup of Nations,Morocco
25-01-2024,Jordan,Bahrain,0.0,1.0,AFC Asian Cup,Bahrain
25-01-2024,South Korea,Malaysia,3.0,3.0,AFC Asian Cup,Draw
25-01-2024,Saudi Arabia,Thailand,0.0,0.0,AFC Asian Cup,Draw
28-01-2024,Australia,Indonesia,4.0,0.0,AFC Asian Cup,Australia
28-01-2024,Egypt,DR Congo,1.0,1.0,African Cup of Nations,Draw
29-01-2024,Iraq,Jordan,2.0,3.0,AFC Asian Cup,Jordan
29-01-2024,Qatar,Palestine,2.0,1.0,AFC Asian Cup,Qatar
29-01-2024,Cape Verde,Mauritania,1.0,0.0,African Cup of Nations,Cape Verde
29-01-2024,Ivory Coast,Senegal,1.0,1.0,African Cup of Nations,Draw
30-01-2024,Saudi Arabia,South Korea,1.0,1.0,AFC Asian Cup,Draw
30-01-2024,Uzbekistan,Thailand,2.0,1.0,AFC Asian Cup,Uzbekistan
30-01-2024,Morocco,South Africa,0.0,2.0,African Cup of Nations,South Africa
31-01-2024,Bahrain,Japan,1.0,3.0,AFC Asian Cup,Japan
31-01-2024,Iran,Syria,1.0,1.0,AFC Asian Cup,Draw
02-02-2024,Australia,South Korea,1.0,2.0,AFC Asian Cup,South Korea
02-02-2024,Tajikistan,Jordan,0.0,1.0,AFC Asian Cup,Jordan
02-02-2024,DR Congo,Guinea,3.0,1.0,African Cup of Nations,DR Congo
03-02-2024,Iran,Japan,2.0,1.0,AFC Asian Cup,Iran
03-02-2024,Qatar,Uzbekistan,1.0,1.0,AFC Asian Cup,Draw
03-02-2024,Cape Verde,South Africa,0.0,0.0,African Cup of Nations,Draw
03-02-2024,Ivory Coast,Mali,2.0,1.0,African Cup of Nations,Ivory Coast
06-02-2024,Jordan,South Korea,2.0,0.0,AFC Asian Cup,Jordan
07-02-2024,Qatar,Iran,3.0,2.0,AFC Asian Cup,Qatar
07-02-2024,Ivory Coast,DR Congo,1.0,0.0,African Cup of Nations,Ivory Coast
07-02-2024,Nigeria,South Africa,1.0,1.0,African Cup of Nations,Draw
10-02-2024,Qatar,Jordan,3.0,1.0,AFC Asian Cup,Qatar
10-02-2024,South Africa,DR Congo,0.0,0.0,African Cup of Nations,Draw
11-02-2024,Ivory Coast,Nigeria,2.0,1.0,African Cup of Nations,Ivory Coast
21-03-2024,South Africa,Andorra,1.0,1.0,FIFA Series,Draw
21-03-2024,Cape Verde,Guyana,1.0,0.0,FIFA Series,Cape Verde
21-03-2024,Panama,Mexico,0.0,3.0,CONCACAF Nations League,Mexico
21-03-2024,Bosnia and Herzegovina,Ukraine,1.0,2.0,UEFA Euro qualification,Ukraine
21-03-2024,Qatar,Kuwait,3.0,0.0,FIFA World Cup qualification,Qatar
21-03-2024,Japan,North Korea,1.0,0.0,FIFA World Cup qualification,Japan
21-03-2024,South Korea,Thailand,1.0,1.0,FIFA World Cup qualification,Draw
21-03-2024,Iran,Turkmenistan,5.0,0.0,FIFA World Cup qualification,Iran
21-03-2024,Hong Kong,Uzbekistan,0.0,2.0,FIFA World Cup qualification,Uzbekistan
21-03-2024,Iraq,Philippines,1.0,0.0,FIFA World Cup qualification,Iraq
21-03-2024,Pakistan,Jordan,0.0,3.0,FIFA World Cup qualification,Jordan
21-03-2024,Saudi Arabia,Tajikistan,1.0,0.0,FIFA World Cup qualification,Saudi Arabia
21-03-2024,Australia,Lebanon,2.0,0.0,FIFA World Cup qualification,Australia
21-03-2024,Ecuador,Guatemala,2.0,0.0,Friendly,Ecuador
21-03-2024,Portugal,Sweden,5.0,2.0,Friendly,Portugal
22-03-2024,Algeria,Bolivia,3.0,2.0,FIFA Series,Algeria
22-03-2024,Egypt,New Zealand,1.0,0.0,FIFA Series,Egypt
22-03-2024,Argentina,El Salvador,3.0,0.0,Friendly,Argentina
22-03-2024,Hungary,Turkey,1.0,0.0,Friendly,Hungary
22-03-2024,Morocco,Angola,1.0,0.0,Friendly,Morocco
22-03-2024,Netherlands,Scotland,4.0,0.0,Friendly,Netherlands
22-03-2024,Nigeria,Ghana,2.0,1.0,Friendly,Nigeria
22-03-2024,Norway,Czech Republic,1.0,2.0,Friendly,Czech Republic
22-03-2024,Senegal,Gabon,3.0,0.0,Friendly,Senegal
22-03-2024,Spain,Colombia,0.0,1.0,Friendly,Colombia
23-03-2024,Tunisia,Croatia,0.0,0.0,FIFA Series,Draw
23-03-2024,Canada,Trinidad and Tobago,2.0,0.0,Copa América qualification,Canada
23-03-2024,Denmark,Switzerland,0.0,0.0,Friendly,Draw
23-03-2024,England,Brazil,0.0,1.0,Friendly,Brazil
23-03-2024,France,Germany,0.0,2.0,Friendly,Germany
23-03-2024,Ivory Coast,Benin,2.0,2.0,Friendly,Draw
23-03-2024,Republic of Ireland,Belgium,0.0,0.0,Friendly,Draw
23-03-2024,Slovakia,Austria,0.0,2.0,Friendly,Austria
24-03-2024,Jamaica,Panama,1.0,0.0,CONCACAF Nations League,Jamaica
24-03-2024,United States,Mexico,2.0,0.0,CONCACAF Nations League,United States
24-03-2024,Ecuador,Italy,0.0,2.0,Friendly,Italy
25-03-2024,Cape Verde,Equatorial Guinea,1.0,0.0,FIFA Series,Cape Verde
25-03-2024,Sweden,Albania,1.0,0.0,Friendly,Sweden
26-03-2024,Algeria,South Africa,3.0,3.0,FIFA Series,Draw
26-03-2024,Egypt,Croatia,2.0,4.0,FIFA Series,Croatia
26-03-2024,New Zealand,Tunisia,0.0,0.0,FIFA Series,Draw
26-03-2024,Kuwait,Qatar,1.0,2.0,FIFA World Cup qualification,Qatar
26-03-2024,Thailand,South Korea,0.0,3.0,FIFA World Cup qualification,South Korea
26-03-2024,Uzbekistan,Hong Kong,3.0,0.0,FIFA World Cup qualification,Uzbekistan
26-03-2024,Turkmenistan,Iran,0.0,1.0,FIFA World Cup qualification,Iran
26-03-2024,Philippines,Iraq,0.0,5.0,FIFA World Cup qualification,Iraq
26-03-2024,Tajikistan,Saudi Arabia,1.0,1.0,FIFA World Cup qualification,Draw
26-03-2024,Jordan,Pakistan,7.0,0.0,FIFA World Cup qualification,Jordan
26-03-2024,Australia,Lebanon,5.0,0.0,FIFA World Cup qualification,Australia
26-03-2024,Argentina,Costa Rica,3.0,1.0,Friendly,Argentina
26-03-2024,Austria,Turkey,6.0,1.0,Friendly,Austria
26-03-2024,Colombia,Romania,3.0,2.0,Friendly,Colombia
26-03-2024,Czech Republic,Armenia,2.0,1.0,Friendly,Czech Republic
26-03-2024,England,Belgium,2.0,2.0,Friendly,Draw
26-03-2024,France,Chile,3.0,2.0,Friendly,France
26-03-2024,Germany,Netherlands,2.0,1.0,Friendly,Germany
26-03-2024,Ivory Coast,Uruguay,2.0,1.0,Friendly,Ivory Coast
26-03-2024,Morocco,Mauritania,0.0,0.0,Friendly,Draw
26-03-2024,Norway,Slovakia,1.0,1.0,Friendly,Draw
26-03-2024,Republic of Ireland,Switzerland,0.0,1.0,Friendly,Switzerland
26-03-2024,Scotland,Northern Ireland,0.0,1.0,Friendly,Northern Ireland
26-03-2024,Senegal,Benin,1.0,0.0,Friendly,Senegal
26-03-2024,Slovenia,Portugal,2.0,0.0,Friendly,Slovenia
26-03-2024,Spain,Brazil,3.0,3.0,Friendly,Draw
21-05-2024,Galicia,Panama,0.0,2.0,Friendly,Panama
21-05-2024,Basque Country,Uruguay,1.0,1.0,Friendly,Draw
31-05-2024,Bolivia,Mexico,0.0,1.0,Friendly,Mexico
31-05-2024,Costa Rica,Uruguay,0.0,0.0,Friendly,Draw
03-06-2024,Croatia,North Macedonia,3.0,0.0,Friendly,Croatia
03-06-2024,England,Bosnia and Herzegovina,3.0,0.0,Friendly,England
03-06-2024,Germany,Ukraine,0.0,0.0,Friendly,Draw
03-06-2024,Gibraltar,Scotland,0.0,2.0,Friendly,Scotland
04-06-2024,Austria,Serbia,2.0,1.0,Friendly,Austria
04-06-2024,Italy,Turkey,0.0,0.0,Friendly,Draw
04-06-2024,Portugal,Finland,4.0,2.0,Friendly,Portugal
04-06-2024,Switzerland,Estonia,4.0,0.0,Friendly,Switzerland
05-06-2024,Belgium,Montenegro,2.0,0.0,Friendly,Belgium
05-06-2024,Denmark,Sweden,2.0,1.0,Friendly,Denmark
05-06-2024,France,Luxembourg,3.0,0.0,Friendly,France
05-06-2024,Mexico,Uruguay,0.0,4.0,Friendly,Uruguay
05-06-2024,Norway,Kosovo,3.0,0.0,Friendly,Norway
05-06-2024,Spain,Andorra,5.0,0.0,Friendly,Spain
05-06-2024,Tunisia,Equatorial Guinea,1.0,0.0,FIFA World Cup qualification,Tunisia
05-06-2024,Curaçao,Barbados,4.0,1.0,FIFA World Cup qualification,Curaçao
06-06-2024,Netherlands,Canada,4.0,0.0,Friendly,Netherlands
06-06-2024,Egypt,Burkina Faso,2.0,1.0,FIFA World Cup qualification,Egypt
06-06-2024,Senegal,DR Congo,1.0,1.0,FIFA World Cup qualification,Draw
06-06-2024,Algeria,Guinea,1.0,2.0,FIFA World Cup qualification,Guinea
06-06-2024,Mali,Ghana,1.0,2.0,FIFA World Cup qualification,Ghana
06-06-2024,Afghanistan,Qatar,0.0,0.0,FIFA World Cup qualification,Draw
06-06-2024,Myanmar,Japan,0.0,5.0,FIFA World Cup qualification,Japan
06-06-2024,Singapore,South Korea,0.0,7.0,FIFA World Cup qualification,South Korea
06-06-2024,Uzbekistan,Turkmenistan,3.0,1.0,FIFA World Cup qualification,Uzbekistan
06-06-2024,Hong Kong,Iran,2.0,4.0,FIFA World Cup qualification,Iran
06-06-2024,Indonesia,Iraq,0.0,2.0,FIFA World Cup qualification,Iraq
06-06-2024,Jordan,Tajikistan,3.0,0.0,FIFA World Cup qualification,Jordan
06-06-2024,Pakistan,Saudi Arabia,0.0,3.0,FIFA World Cup qualification,Saudi Arabia
06-06-2024,Bangladesh,Australia,0.0,2.0,FIFA World Cup qualification,Australia
06-06-2024,Haiti,Saint Lucia,2.0,1.0,FIFA World Cup qualification,Haiti
06-06-2024,Panama,Guyana,2.0,0.0,FIFA World Cup qualification,Panama
07-06-2024,Czech Republic,Malta,7.0,1.0,Friendly,Czech Republic
07-06-2024,England,Iceland,0.0,1.0,Friendly,Iceland
07-06-2024,Germany,Greece,2.0,1.0,Friendly,Germany
07-06-2024,Peru,Paraguay,0.0,0.0,Friendly,Draw
07-06-2024,Scotland,Finland,2.0,2.0,Friendly,Draw
07-06-2024,Nigeria,South Africa,1.0,1.0,FIFA World Cup qualification,Draw
07-06-2024,Morocco,Zambia,2.0,1.0,FIFA World Cup qualification,Morocco
07-06-2024,Ivory Coast,Gabon,1.0,0.0,FIFA World Cup qualification,Ivory Coast
08-06-2024,Belgium,Luxembourg,3.0,0.0,Friendly,Belgium
08-06-2024,Denmark,Norway,3.0,1.0,Friendly,Denmark
08-06-2024,Mexico,Brazil,2.0,3.0,Friendly,Brazil
08-06-2024,Portugal,Croatia,1.0,2.0,Friendly,Croatia
08-06-2024,Spain,Northern Ireland,5.0,1.0,Friendly,Spain
08-06-2024,Sweden,Serbia,0.0,3.0,Friendly,Serbia
08-06-2024,Switzerland,Austria,1.0,1.0,Friendly,Draw
08-06-2024,United States,Colombia,1.0,5.0,Friendly,Colombia
08-06-2024,Cameroon,Cape Verde,4.0,1.0,FIFA World Cup qualification,Cameroon
08-06-2024,Aruba,Curaçao,0.0,2.0,FIFA World Cup qualification,Curaçao
09-06-2024,Argentina,Ecuador,1.0,0.0,Friendly,Argentina
09-06-2024,France,Canada,0.0,0.0,Friendly,Draw
09-06-2024,Italy,Bosnia and Herzegovina,1.0,0.0,Friendly,Italy
09-06-2024,Mauritania,Senegal,0.0,1.0,FIFA World Cup qualification,Senegal
09-06-2024,DR Congo,Togo,1.0,0.0,FIFA World Cup qualification,DR Congo
09-06-2024,Namibia,Tunisia,0.0,0.0,FIFA World Cup qualification,Draw
09-06-2024,Barbados,Haiti,1.0,3.0,FIFA World Cup qualification,Haiti
09-06-2024,Montserrat,Panama,1.0,3.0,FIFA World Cup qualification,Panama
10-06-2024,Czech Republic,North Macedonia,2.0,1.0,Friendly,Czech Republic
10-06-2024,Netherlands,Iceland,4.0,0.0,Friendly,Netherlands
10-06-2024,Poland,Turkey,2.0,1.0,Friendly,Poland
10-06-2024,Guinea-Bissau,Egypt,1.0,1.0,FIFA World Cup qualification,Draw
10-06-2024,Uganda,Algeria,1.0,2.0,FIFA World Cup qualification,Algeria
10-06-2024,Ghana,Central African Republic,4.0,3.0,FIFA World Cup qualification,Ghana
11-06-2024,Chile,Paraguay,3.0,0.0,Friendly,Chile
11-06-2024,Portugal,Republic of Ireland,3.0,0.0,Friendly,Portugal
11-06-2024,South Africa,Zimbabwe,3.0,1.0,FIFA World Cup qualification,South Africa
11-06-2024,Cape Verde,Libya,1.0,0.0,FIFA World Cup qualification,Cape Verde
11-06-2024,Morocco,Congo,6.0,0.0,FIFA World Cup qualification,Morocco
11-06-2024,Kenya,Ivory Coast,0.0,0.0,FIFA World Cup qualification,Draw
11-06-2024,Qatar,India,2.0,1.0,FIFA World Cup qualification,Qatar
11-06-2024,Japan,Syria,5.0,0.0,FIFA World Cup qualification,Japan
11-06-2024,South Korea,China,1.0,0.0,FIFA World Cup qualification,South Korea
11-06-2024,Iran,Uzbekistan,0.0,0.0,FIFA World Cup qualification,Draw
11-06-2024,Iraq,Vietnam,3.0,1.0,FIFA World Cup qualification,Iraq
11-06-2024,Saudi Arabia,Jordan,1.0,2.0,FIFA World Cup qualification,Jordan
11-06-2024,Australia,Palestine,5.0,0.0,FIFA World Cup qualification,Australia
12-06-2024,Ecuador,Bolivia,3.0,1.0,Friendly,Ecuador
12-06-2024,United States,Brazil,1.0,1.0,Friendly,Draw
14-06-2024,Germany,Scotland,5.0,1.0,UEFA Euro,Germany
14-06-2024,Argentina,Guatemala,4.0,1.0,Friendly,Argentina
15-06-2024,Hungary,Switzerland,1.0,3.0,UEFA Euro,Switzerland
15-06-2024,Spain,Croatia,3.0,0.0,UEFA Euro,Spain
15-06-2024,Colombia,Bolivia,3.0,0.0,Friendly,Colombia
16-06-2024,Ecuador,Honduras,2.0,1.0,Friendly,Ecuador
16-06-2024,Serbia,England,0.0,1.0,UEFA Euro,England
16-06-2024,Poland,Netherlands,1.0,2.0,UEFA Euro,Netherlands
16-06-2024,Panama,Paraguay,0.0,1.0,Friendly,Paraguay
17-06-2024,Austria,France,0.0,1.0,UEFA Euro,France
17-06-2024,Belgium,Slovakia,0.0,1.0,UEFA Euro,Slovakia
18-06-2024,Turkey,Georgia,3.0,1.0,UEFA Euro,Turkey
18-06-2024,Portugal,Czech Republic,2.0,1.0,UEFA Euro,Portugal
18-06-2024,New Zealand,Solomon Islands,3.0,0.0,Oceania Nations Cup,New Zealand
19-06-2024,Germany,Hungary,2.0,0.0,UEFA Euro,Germany
19-06-2024,Scotland,Switzerland,1.0,1.0,UEFA Euro,Draw
19-06-2024,Croatia,Albania,2.0,2.0,UEFA Euro,Draw
20-06-2024,Spain,Italy,1.0,0.0,UEFA Euro,Spain
20-06-2024,Denmark,England,1.0,1.0,UEFA Euro,Draw
20-06-2024,Argentina,Canada,2.0,0.0,Copa América,Argentina
21-06-2024,Poland,Austria,1.0,3.0,UEFA Euro,Austria
21-06-2024,Netherlands,France,0.0,0.0,UEFA Euro,Draw
21-06-2024,Vanuatu,New Zealand,0.0,4.0,Oceania Nations Cup,New Zealand
22-06-2024,Belgium,Romania,2.0,0.0,UEFA Euro,Belgium
22-06-2024,Georgia,Czech Republic,1.0,1.0,UEFA Euro,Draw
22-06-2024,Turkey,Portugal,0.0,3.0,UEFA Euro,Portugal
22-06-2024,Ecuador,Venezuela,1.0,2.0,Copa América,Venezuela
22-06-2024,Mexico,Jamaica,1.0,0.0,Copa América,Mexico
23-06-2024,Germany,Switzerland,1.0,1.0,UEFA Euro,Draw
23-06-2024,Scotland,Hungary,0.0,1.0,UEFA Euro,Hungary
23-06-2024,Uruguay,Panama,3.0,1.0,Copa América,Uruguay
24-06-2024,Albania,Spain,0.0,1.0,UEFA Euro,Spain
24-06-2024,Croatia,Italy,1.0,1.0,UEFA Euro,Draw
24-06-2024,Colombia,Paraguay,2.0,1.0,Copa América,Colombia
24-06-2024,Brazil,Costa Rica,0.0,0.0,Copa América,Draw
25-06-2024,England,Slovenia,0.0,0.0,UEFA Euro,Draw
25-06-2024,Netherlands,Austria,2.0,3.0,UEFA Euro,Austria
25-06-2024,France,Poland,1.0,1.0,UEFA Euro,Draw
25-06-2024,Peru,Canada,0.0,1.0,Copa América,Canada
25-06-2024,Chile,Argentina,0.0,1.0,Copa América,Argentina
26-06-2024,Ukraine,Belgium,0.0,0.0,UEFA Euro,Draw
26-06-2024,Georgia,Portugal,2.0,0.0,UEFA Euro,Georgia
26-06-2024,Czech Republic,Turkey,1.0,2.0,UEFA Euro,Turkey
26-06-2024,Ecuador,Jamaica,3.0,1.0,Copa América,Ecuador
26-06-2024,Venezuela,Mexico,1.0,0.0,Copa América,Venezuela
27-06-2024,New Zealand,Tahiti,5.0,0.0,Oceania Nations Cup,New Zealand
27-06-2024,United States,Panama,1.0,2.0,Copa América,Panama
27-06-2024,Uruguay,Bolivia,5.0,0.0,Copa América,Uruguay
28-06-2024,Colombia,Costa Rica,3.0,0.0,Copa América,Colombia
28-06-2024,Paraguay,Brazil,1.0,4.0,Copa América,Brazil
29-06-2024,Switzerland,Italy,2.0,0.0,UEFA Euro,Switzerland
29-06-2024,Germany,Denmark,2.0,0.0,UEFA Euro,Germany
29-06-2024,Argentina,Peru,2.0,0.0,Copa América,Argentina
29-06-2024,Canada,Chile,0.0,0.0,Copa América,Draw
30-06-2024,England,Slovakia,2.0,1.0,UEFA Euro,England
30-06-2024,Spain,Georgia,4.0,1.0,UEFA Euro,Spain
30-06-2024,Vanuatu,New Zealand,0.0,3.0,Oceania Nations Cup,New Zealand
30-06-2024,Mexico,Ecuador,0.0,0.0,Copa América,Draw
01-07-2024,France,Belgium,1.0,0.0,UEFA Euro,France
01-07-2024,Portugal,Slovenia,0.0,0.0,UEFA Euro,Draw
01-07-2024,United States,Uruguay,0.0,1.0,Copa América,Uruguay
01-07-2024,Bolivia,Panama,1.0,3.0,Copa América,Panama
02-07-2024,Romania,Netherlands,0.0,3.0,UEFA Euro,Netherlands
02-07-2024,Austria,Turkey,1.0,2.0,UEFA Euro,Turkey
02-07-2024,Brazil,Colombia,1.0,1.0,Copa América,Draw
