date,team_1,team_2,team_1_score,team_2_score,tournament,winner
28-03-2023,Georgia,Norway,1.0,1.0,UEFA Euro qualification,Draw
28-03-2023,Turkey,Croatia,0.0,2.0,UEFA Euro qualification,Croatia
28-03-2023,Switzerland,Israel,3.0,0.0,UEFA Euro qualification,Switzerland
28-03-2023,Costa Rica,Panama,0.0,1.0,CONCACAF Nations League,Panama
28-03-2023,Canada,Honduras,4.0,1.0,CONCACAF Nations League,Canada
28-03-2023,Haiti,Bermuda,3.0,1.0,CONCACAF Nations League,Haiti
19-04-2023,United States,Mexico,1.0,1.0,Friendly,Draw
07-06-2023,Mexico,Guatemala,2.0,0.0,Friendly,Mexico
10-06-2023,Mexico,Cameroon,2.0,2.0,Friendly,Draw
10-06-2023,Panama,Nicaragua,3.0,2.0,Friendly,Panama
11-06-2023,Uzbekistan,Oman,3.0,0.0,CAFA Nations Cup,Uzbekistan
12-06-2023,Germany,Ukraine,3.0,3.0,Friendly,Draw
12-06-2023,Morocco,Cape Verde,0.0,0.0,Friendly,Draw
13-06-2023,Iran,Afghanistan,6.0,1.0,CAFA Nations Cup,Iran
13-06-2023,Curaçao,Costa Rica,0.0,0.0,Friendly,Draw
14-06-2023,DR Congo,Uganda,1.0,0.0,Friendly,DR Congo
14-06-2023,Uruguay,Nicaragua,4.0,1.0,Friendly,Uruguay
14-06-2023,Netherlands,Croatia,2.0,4.0,UEFA Nations League,Croatia
14-06-2023,Uzbekistan,Turkmenistan,2.0,0.0,CAFA Nations Cup,Uzbekistan
14-06-2023,Guinea,Egypt,1.0,2.0,African Cup of Nations qualification,Egypt
15-06-2023,Panama,Canada,0.0,2.0,CONCACAF Nations League,Canada
15-06-2023,United States,Mexico,3.0,0.0,CONCACAF Nations League,United States
15-06-2023,Argentina,Australia,2.0,0.0,Friendly,Argentina
15-06-2023,Jamaica,Qatar,1.0,2.0,Friendly,Qatar
15-06-2023,Japan,El Salvador,6.0,0.0,Friendly,Japan
15-06-2023,Spain,Italy,2.0,1.0,UEFA Nations League,Spain
16-06-2023,Curaçao,Saint Kitts and Nevis,1.0,1.0,Gold Cup qualification,Draw
16-06-2023,Colombia,Iraq,1.0,0.0,Friendly,Colombia
16-06-2023,South Korea,Peru,0.0,1.0,Friendly,Peru
16-06-2023,Poland,Germany,1.0,0.0,Friendly,Poland
16-06-2023,Serbia,Jordan,3.0,2.0,Friendly,Serbia
16-06-2023,Sweden,New Zealand,4.0,1.0,Friendly,Sweden
16-06-2023,Gibraltar,France,0.0,3.0,UEFA Euro qualification,France
16-06-2023,Malta,England,0.0,4.0,UEFA Euro qualification,England
16-06-2023,Latvia,Turkey,2.0,3.0,UEFA Euro qualification,Turkey
16-06-2023,Andorra,Switzerland,1.0,2.0,UEFA Euro qualification,Switzerland
16-06-2023,Kyrgyzstan,Iran,1.0,5.0,CAFA Nations Cup,Iran
17-06-2023,Brazil,Guinea,4.0,1.0,Friendly,Brazil
17-06-2023,Ecuador,Bolivia,1.0,0.0,Friendly,Ecuador
17-06-2023,Norway,Scotland,1.0,2.0,UEFA Euro qualification,Scotland
17-06-2023,Faroe Islands,Czech Republic,0.0,3.0,UEFA Euro qualification,Czech Republic
17-06-2023,Belgium,Austria,1.0,1.0,UEFA Euro qualification,Draw
17-06-2023,Portugal,Bosnia and Herzegovina,3.0,0.0,UEFA Euro qualification,Portugal
17-06-2023,Uzbekistan,Tajikistan,5.0,1.0,CAFA Nations Cup,Uzbekistan
17-06-2023,Zambia,Ivory Coast,3.0,0.0,African Cup of Nations qualification,Zambia
17-06-2023,Equatorial Guinea,Tunisia,1.0,0.0,African Cup of Nations qualification,Equatorial Guinea
17-06-2023,South Africa,Morocco,2.0,1.0,African Cup of Nations qualification,South Africa
17-06-2023,Benin,Senegal,1.0,1.0,African Cup of Nations qualification,Draw
18-06-2023,Panama,Mexico,0.0,1.0,CONCACAF Nations League,Mexico
18-06-2023,United States,Canada,2.0,0.0,CONCACAF Nations League,United States
18-06-2023,Egypt,South Sudan,3.0,0.0,Friendly,Egypt
18-06-2023,Paraguay,Nicaragua,2.0,0.0,Friendly,Paraguay
18-06-2023,Netherlands,Italy,2.0,3.0,UEFA Nations League,Italy
18-06-2023,Croatia,Spain,0.0,0.0,UEFA Nations League,Draw
18-06-2023,Cape Verde,Burkina Faso,3.0,1.0,African Cup of Nations qualification,Cape Verde
18-06-2023,Madagascar,Ghana,0.0,0.0,African Cup of Nations qualification,Draw
18-06-2023,Uganda,Algeria,1.0,2.0,African Cup of Nations qualification,Algeria
18-06-2023,Gabon,DR Congo,0.0,2.0,African Cup of Nations qualification,DR Congo
19-06-2023,Indonesia,Argentina,0.0,2.0,Friendly,Argentina
19-06-2023,Jamaica,Jordan,1.0,2.0,Friendly,Jordan
19-06-2023,France,Greece,1.0,0.0,UEFA Euro qualification,France
19-06-2023,England,North Macedonia,7.0,0.0,UEFA Euro qualification,England
19-06-2023,Turkey,Wales,2.0,0.0,UEFA Euro qualification,Turkey
19-06-2023,Switzerland,Romania,2.0,2.0,UEFA Euro qualification,Draw
20-06-2023,Algeria,Tunisia,1.0,1.0,Friendly,Draw
20-06-2023,Brazil,Senegal,2.0,4.0,Friendly,Senegal
20-06-2023,Ecuador,Costa Rica,3.0,1.0,Friendly,Ecuador
20-06-2023,Germany,Colombia,0.0,2.0,Friendly,Colombia
20-06-2023,Haiti,Trinidad and Tobago,0.0,0.0,Friendly,Draw
20-06-2023,Japan,Peru,4.0,1.0,Friendly,Japan
20-06-2023,South Korea,El Salvador,1.0,1.0,Friendly,Draw
20-06-2023,Montenegro,Czech Republic,1.0,4.0,Friendly,Czech Republic
20-06-2023,Uruguay,Cuba,2.0,0.0,Friendly,Uruguay
20-06-2023,Scotland,Georgia,2.0,0.0,UEFA Euro qualification,Scotland
20-06-2023,Norway,Cyprus,3.0,1.0,UEFA Euro qualification,Norway
20-06-2023,Austria,Sweden,2.0,0.0,UEFA Euro qualification,Austria
20-06-2023,Estonia,Belgium,0.0,3.0,UEFA Euro qualification,Belgium
20-06-2023,Iceland,Portugal,0.0,1.0,UEFA Euro qualification,Portugal
20-06-2023,Bosnia and Herzegovina,Luxembourg,0.0,2.0,UEFA Euro qualification,Luxembourg
20-06-2023,Uzbekistan,Iran,0.0,1.0,CAFA Nations Cup,Iran
25-06-2023,Haiti,Qatar,2.0,1.0,Gold Cup,Haiti
25-06-2023,Mexico,Honduras,4.0,0.0,Gold Cup,Mexico
26-06-2023,Costa Rica,Panama,1.0,2.0,Gold Cup,Panama
27-06-2023,Canada,Guadeloupe,2.0,2.0,Gold Cup,Draw
29-06-2023,Qatar,Honduras,1.0,1.0,Gold Cup,Draw
29-06-2023,Haiti,Mexico,1.0,3.0,Gold Cup,Mexico
30-06-2023,Martinique,Panama,1.0,2.0,Gold Cup,Panama
01-07-2023,Guatemala,Canada,0.0,0.0,Gold Cup,Draw
02-07-2023,Honduras,Haiti,2.0,1.0,Gold Cup,Honduras
02-07-2023,Mexico,Qatar,0.0,1.0,Gold Cup,Qatar
04-07-2023,Panama,El Salvador,2.0,2.0,Gold Cup,Draw
04-07-2023,Canada,Cuba,4.0,2.0,Gold Cup,Canada
05-07-2023,South Africa,Namibia,1.0,1.0,COSAFA Cup,Draw
08-07-2023,Panama,Qatar,4.0,0.0,Gold Cup,Panama
08-07-2023,Mexico,Costa Rica,2.0,0.0,Gold Cup,Mexico
08-07-2023,South Africa,Botswana,2.0,1.0,COSAFA Cup,South Africa
09-07-2023,United States,Canada,2.0,2.0,Gold Cup,Draw
11-07-2023,South Africa,Eswatini,2.0,1.0,COSAFA Cup,South Africa
12-07-2023,United States,Panama,1.0,1.0,Gold Cup,Draw
12-07-2023,Jamaica,Mexico,0.0,3.0,Gold Cup,Mexico
14-07-2023,South Africa,Zambia,1.0,2.0,COSAFA Cup,Zambia
16-07-2023,Mexico,Panama,1.0,0.0,Gold Cup,Mexico
16-07-2023,South Africa,Malawi,0.0,0.0,COSAFA Cup,Draw
27-08-2023,Bolivia,Panama,1.0,2.0,Friendly,Panama
07-09-2023,Trinidad and Tobago,Curaçao,1.0,0.0,CONCACAF Nations League,Trinidad and Tobago
07-09-2023,Panama,Martinique,3.0,0.0,CONCACAF Nations League,Panama
07-09-2023,Colombia,Venezuela,1.0,0.0,FIFA World Cup qualification,Colombia
07-09-2023,Paraguay,Peru,0.0,0.0,FIFA World Cup qualification,Draw
07-09-2023,Argentina,Ecuador,1.0,0.0,FIFA World Cup qualification,Argentina
07-09-2023,Austria,Moldova,1.0,1.0,Friendly,Draw
07-09-2023,Bulgaria,Iran,0.0,1.0,Friendly,Iran
07-09-2023,Norway,Jordan,6.0,0.0,Friendly,Norway
07-09-2023,Qatar,Kenya,1.0,2.0,Friendly,Kenya
07-09-2023,Wales,South Korea,0.0,0.0,Friendly,Draw
07-09-2023,Ghana,Central African Republic,2.0,1.0,African Cup of Nations qualification,Ghana
07-09-2023,Algeria,Tanzania,0.0,0.0,African Cup of Nations qualification,Draw
07-09-2023,Tunisia,Botswana,3.0,0.0,African Cup of Nations qualification,Tunisia
07-09-2023,France,Republic of Ireland,2.0,0.0,UEFA Euro qualification,France
07-09-2023,Netherlands,Greece,3.0,0.0,UEFA Euro qualification,Netherlands
07-09-2023,Czech Republic,Albania,1.0,1.0,UEFA Euro qualification,Draw
07-09-2023,Iraq,India,2.0,2.0,King's Cup,Draw
08-09-2023,Haiti,Cuba,0.0,0.0,CONCACAF Nations League,Draw
08-09-2023,Uruguay,Chile,3.0,1.0,FIFA World Cup qualification,Uruguay
08-09-2023,Brazil,Bolivia,5.0,1.0,FIFA World Cup qualification,Brazil
08-09-2023,Costa Rica,Saudi Arabia,3.0,1.0,Friendly,Costa Rica
08-09-2023,Egypt,Ethiopia,1.0,0.0,African Cup of Nations qualification,Egypt
08-09-2023,Georgia,Spain,1.0,7.0,UEFA Euro qualification,Spain
08-09-2023,Cyprus,Scotland,0.0,3.0,UEFA Euro qualification,Scotland
08-09-2023,Croatia,Latvia,5.0,0.0,UEFA Euro qualification,Croatia
08-09-2023,Turkey,Armenia,1.0,1.0,UEFA Euro qualification,Draw
08-09-2023,Bosnia and Herzegovina,Liechtenstein,2.0,1.0,UEFA Euro qualification,Bosnia and Herzegovina
08-09-2023,Slovakia,Portugal,0.0,1.0,UEFA Euro qualification,Portugal
09-09-2023,Germany,Japan,1.0,4.0,Friendly,Japan
09-09-2023,Mexico,Australia,2.0,2.0,Friendly,Draw
09-09-2023,South Africa,Namibia,0.0,0.0,Friendly,Draw
09-09-2023,United States,Uzbekistan,3.0,0.0,Friendly,United States
09-09-2023,Ivory Coast,Lesotho,1.0,0.0,African Cup of Nations qualification,Ivory Coast
09-09-2023,DR Congo,Sudan,2.0,0.0,African Cup of Nations qualification,DR Congo
09-09-2023,Rwanda,Senegal,1.0,1.0,African Cup of Nations qualification,Draw
09-09-2023,Ukraine,England,1.0,1.0,UEFA Euro qualification,Draw
09-09-2023,Azerbaijan,Belgium,0.0,1.0,UEFA Euro qualification,Belgium
09-09-2023,Estonia,Sweden,0.0,5.0,UEFA Euro qualification,Sweden
09-09-2023,Kosovo,Switzerland,2.0,2.0,UEFA Euro qualification,Draw
10-09-2023,Guatemala,Panama,1.0,1.0,CONCACAF Nations League,Draw
10-09-2023,Martinique,Curaçao,1.0,0.0,CONCACAF Nations League,Martinique
10-09-2023,Hungary,Czech Republic,1.0,1.0,Friendly,Draw
10-09-2023,Togo,Cape Verde,3.0,2.0,African Cup of Nations qualification,Togo
10-09-2023,Republic of Ireland,Netherlands,1.0,2.0,UEFA Euro qualification,Netherlands
10-09-2023,Thailand,Iraq,2.0,2.0,King's Cup,Draw
11-09-2023,Armenia,Croatia,0.0,1.0,UEFA Euro qualification,Croatia
11-09-2023,Iceland,Bosnia and Herzegovina,1.0,0.0,UEFA Euro qualification,Iceland
11-09-2023,Portugal,Luxembourg,9.0,0.0,UEFA Euro qualification,Portugal
12-09-2023,Jamaica,Haiti,2.0,2.0,CONCACAF Nations League,Draw
12-09-2023,Bolivia,Argentina,0.0,3.0,FIFA World Cup qualification,Argentina
12-09-2023,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Ecuador
