Player_ID,Player_Name,apps,goalOwn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame
5583,Cristiano Ronaldo,38,0.0,,,0.6,,,,
8280,Craig Gordon,8,0.0,,,,,1.0555555555555556,,
11119,Lionel Messi,41,0.0,0.9464285714285714,0.1428571428571428,0.4357142857142857,,0.25,1.0595238095238095,0.25
13754,Manuel Neuer,43,0.0,,,,,0.8636363636363636,0.0909090909090909,
20874,Luka Modric,55,0.0,0.7361111111111112,0.687908496732026,0.4215686274509804,0.0588235294117647,0.698529411764706,0.43709150326797386,0.2389705882352941
25191,Axel Witsel,39,0.0,0.8854166666666666,0.9375,1.03125,1.0,1.25,0.90625,0.34375
26236,Kristoffer Nordfeldt,20,0.0,,,,,0.5,,
30966,Fernando Muslera,9,0.0,,,,,1.0,,
34069,Johny Placide,34,0.0,,,,,,,
34350,Kosta Barbarouses,24,0.0,,,,,,,
34693,Marko Arnautovic,26,0.0,0.8571428571428572,0.4,0.9,,0.4714285714285714,0.2214285714285714,0.1
36469,Tommy Smith,18,0.0,,,,,,,
36745,David Ospina,4,0.0,,,,,,,
37188,Yuto Nagatomo,11,0.0,,,,,,,
37757,Hassan Al Haydos,6,0.0,,,,,,,
39187,Ørjan Nyland,18,0.0,,,,,0.9125,,
39722,David Alaba,25,0.0,0.4292929292929292,0.75,0.17045454545454544,0.26136363636363635,1.450757575757576,0.4772727272727273,0.4469696969696969
42898,Michael Boxall,12,0.0,0.4285714285714285,1.2142857142857142,0.7142857142857143,,5.428571428571429,1.0,0.8571428571428571
43670,Lucas Mendes,5,0.0,,,,,,,
44714,Mert Günok,18,0.0,,,,,0.6125,,
50835,Neymar,17,0.0,0.5,,1.5,,0.375,0.375,
53362,Camilo Vargas,24,0.0,,,,,0.5,,
61610,Ricardo Rodríguez,43,0.0,0.9033816425120773,0.9341787439613527,1.0084541062801933,0.2906602254428341,2.3393719806763285,0.45169082125603865,0.1304347826086956
67114,Eloy Room,20,0.0,,,,,3.0,,
67491,Jordan Ayew,59,0.0,0.5952380952380952,0.2619047619047619,1.1666666666666667,0.0238095238095238,1.0476190476190477,0.3095238095238095,0.0714285714285714
68659,Jordan Henderson,43,0.0,0.7552083333333333,0.515625,0.36979166666666663,,0.6979166666666666,0.28125,0.21875
70291,Gaël Kakuta,14,0.0,,,1.0,,,,
70524,Ivan Perisic,52,0.0,0.65,0.8722222222222222,0.6333333333333333,,1.3333333333333333,0.7583333333333333,0.19166666666666665
71182,James Rodríguez,47,0.0,0.8333333333333334,0.3333333333333333,0.5833333333333334,,0.1666666666666666,0.5,
71824,Pascal Groß,44,0.0,1.157384370015949,0.6942583732057416,1.2140988835725677,,0.7604465709728868,0.570334928229665,0.2105263157894736
71968,Kim Seung-Gyu,13,0.0,,,,,,,
72982,Valon Berisha,17,0.0,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.6666666666666666
73084,Kevin De Bruyne,34,0.0,0.9583333333333334,0.3703703703703704,0.6527777777777779,,0.2407407407407407,0.7777777777777778,
73380,Chris Wood,22,0.0,0.0666666666666666,0.0666666666666666,0.4,,0.8,0.6666666666666666,0.2333333333333333
73798,Thibaut Courtois,59,0.0,0.03125,,0.03125,,1.234090909090909,0.09375,
74790,Ryan Mendes,16,0.0,1.375,0.5,0.75,,2.0,0.875,
75217,Andrej Kramaric,48,0.0,0.2352941176470588,0.2352941176470588,0.19852941176470584,,0.2647058823529412,0.1654411764705882,0.09191176470588235
75691,Nicolás Otamendi,78,1.0,1.1500000000000001,1.1958333333333333,0.7388888888888889,0.4000000000000001,4.5458333333333325,0.26666666666666666,0.8111111111111112
77440,Oliver Baumann,44,0.0,,,0.0294117647058823,,1.3382352941176472,0.0588235294117647,
78498,Romelu Lukaku,14,0.0,0.5,,0.45,,0.9,,0.2
79700,Alberto Quintero,3,0.0,,,,,,,
79967,Leandro Bacuna,10,0.0,4.0,,1.0,,3.0,2.0,1.0
80464,Idrissa Gueye,42,0.0,2.217142857142857,1.06,1.2771428571428571,,0.8371428571428572,0.7371428571428571,0.35428571428571426
80931,Mathew Leckie,9,0.0,,,,,,,
81523,Mathew Ryan,39,0.0,0.0555555555555555,0.0277777777777777,,,1.1944444444444444,0.0277777777777777,
82277,Dan Burn,53,0.0,1.806191222570533,0.8583072100313479,1.3262539184952977,0.30807210031347965,4.937617554858933,0.6251567398119122,0.5784482758620689
82917,Kenny McLean,56,0.0,1.5976190476190477,0.7827380952380952,0.9107142857142857,,1.8690476190476188,0.9682539682539683,0.5178571428571428
83249,Aziz Behich,30,0.0,,,1.0,1.0,2.0,,
83532,Harry Kane,66,0.0,0.5551488833746898,0.2419199751861042,0.7367090570719603,0.032258064516129,0.7426592224979321,0.37924937965260547,0.2087468982630273
83809,Nicolás Tagliafico,53,0.0,1.4694444444444443,1.111111111111111,1.1972222222222222,0.1,1.861111111111111,0.4,0.20833333333333331
83895,Enner Valencia,24,0.0,0.6666666666666666,,1.3333333333333333,,0.3333333333333333,,
84919,Michael Gregoritsch,45,0.0,0.20955882352941174,0.39705882352941174,0.5563725490196078,,0.9411764705882353,0.33455882352941174,0.20955882352941174
85006,Tim Ream,24,0.0,0.6565656565656566,0.9898989898989897,0.3939393939393939,0.3939393939393939,3.808080808080808,0.3939393939393939,0.7272727272727272
85070,Marten de Roon,51,0.0,1.857843137254902,0.7720588235294117,1.1274509803921569,0.08578431372549014,1.9019607843137254,1.0661764705882353,0.1470588235294117
86513,Cédric Bakambu,32,0.0,0.5925925925925926,0.1111111111111111,2.1481481481481484,,0.611111111111111,0.3148148148148148,0.1666666666666666
86593,Grant Hanley,14,0.0,1.8333333333333333,1.0,1.0,0.625,5.916666666666667,1.5,1.8333333333333333
86829,Wataru Endo,15,0.0,2.4583333333333335,1.25,1.25,,1.7083333333333333,0.5833333333333334,1.0
87247,Luis Mejía,8,0.0,,,,,,,
88112,Santiago Arias,11,0.0,1.3333333333333333,,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,
88300,Danilo,30,0.0,1.5,1.1875,0.75,0.375,2.625,0.4166666666666667,0.625
88526,Casemiro,47,0.0,1.823529411764706,0.9558823529411764,1.1764705882352942,,2.573529411764706,2.235294117647059,0.8970588235294117
89401,Granit Xhaka,46,0.0,1.2352941176470589,0.9509803921568628,0.7549019607843137,0.1470588235294117,1.6666666666666667,0.48529411764705876,0.37745098039215685
89925,Lucas Digne,51,0.0,1.1951775822743562,0.469208211143695,1.1101335940045618,0.28804170739654605,1.5751058976865426,0.4421635711958292,0.1099706744868035
90115,Aïssa Mandi,57,0.0,0.845977011494253,1.3905956112852664,0.5711598746081504,0.31619644723092993,3.5699059561128528,0.33312434691745035,0.39059561128526643
90880,Kalidou Koulibaly,43,0.0,2.4,0.7,1.3,0.4,5.1,0.30000000000000004,0.6000000000000001
91909,Son Heung-Min,26,0.0,0.4615384615384615,0.1538461538461538,0.3846153846153846,,0.2307692307692307,0.0769230769230769,0.0769230769230769
91989,Juan Fernando Quintero,31,0.0,,,,,,,
92051,Marcel Sabitzer,49,0.0,1.1009615384615383,0.5993589743589743,0.5152243589743589,,0.9447115384615383,0.5208333333333333,0.24038461538461536
93700,Leandro Paredes,26,0.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,
93894,Mateo Kovacic,13,0.0,1.1111111111111112,0.3333333333333333,1.0,,0.8333333333333333,,
95408,Virgil van Dijk,68,0.0,0.6929824561403509,0.8404605263157895,0.9166666666666666,0.4824561403508772,6.152960526315789,0.06798245614035085,0.5197368421052632
98126,Ante Budimir,47,0.0,0.4837837837837838,0.1621621621621621,1.002702702702703,0.027027027027027,0.7216216216216216,0.1081081081081081,0.18108108108108106
98309,Igor Sergeev,5,0.0,,,,,,,
99002,Ronwen Williams,53,0.0,,1.0,,,1.1944444444444444,,
100008,Victor Lindelöf,32,1.0,0.6039215686274509,0.7676470588235295,0.9794117647058823,0.7485294117647059,3.75,0.2725490196078431,0.39705882352941174
100995,Alex Sandro,24,0.0,1.4615384615384617,0.5384615384615384,1.7307692307692308,0.1538461538461538,2.0769230769230766,0.4807692307692307,0.3076923076923077
101374,John Stones,24,0.0,0.3148148148148148,0.6458333333333334,0.6666666666666666,0.5925925925925926,2.333333333333333,0.3333333333333333,0.7083333333333333
101530,Ahmed Alaa,2,0.0,1.0,,,,,,
101949,Marquinhos,61,1.0,1.4015873015873017,0.8176190476190476,0.6642857142857143,0.9746031746031747,3.266666666666667,0.8761904761904762,0.6920634920634919
102023,Weverton,31,0.0,0.0588235294117647,,0.0588235294117647,,0.6823529411764706,,
102248,Emiliano Martínez,69,0.0,,,,,0.5127840909090909,,
103383,Gustavo Gómez,45,0.0,0.78125,1.2083333333333333,1.4375,1.0208333333333333,5.3125,0.65625,0.84375
103542,Yvon Mvogo,33,0.0,0.032258064516129,0.032258064516129,,,0.8709677419354839,0.064516129032258,
103622,Silvan Widmer,43,0.0,1.574074074074074,0.4629629629629629,0.6111111111111112,0.13888888888888884,1.8981481481481481,0.6203703703703703,0.23148148148148145
104010,Antonio Rüdiger,35,0.0,0.5164021164021164,0.3788359788359788,0.7170634920634921,0.4433862433862434,2.397777777777778,0.3796825396825397,0.5216931216931217
104368,Chancel Mbemba,29,1.0,1.2339743589743588,1.0673076923076923,0.5064102564102564,0.5897435897435898,6.5,0.4358974358974359,0.40384615384615385
104376,Thomas Meunier,47,0.0,1.1444285714285714,0.9814285714285714,1.789142857142857,0.11595238095238093,2.3195714285714284,0.7941071428571429,0.1992857142857143
104749,Riyad Mahrez,45,0.0,2.25,0.5,1.0,,0.5,1.0,
105198,Brice Samba,35,0.0,0.0625,,0.03125,,0.625,0.03125,
