Player_ID,Player_Name,apps,manOfTheMatch,goal,assistTotal,yellowCard,redCard,shotsPerGame,aerialWonPerGame,passSuccess,rating
85006,Tim Ream,24,0,0,1,0.0,0.0,0.0909090909090909,1.4545454545454546,88.03409396629735,6.591969696969697
85070,Marten de Roon,52,1,2,4,9.0,1.0,0.44362745098039214,1.5294117647058822,84.17348727121615,6.5504411764705885
86513,Cédric Bakambu,32,0,5,3,5.0,0.0,1.388888888888889,1.2777777777777777,66.40522875816994,6.582777777777778
86593,Grant Hanley,14,0,0,0,0.0,0.0,0.25,2.875,91.61909448818898,7.095
86829,Wataru Endo,16,0,0,1,1.0,0.0,0.5625,1.0,90.80076711535678,6.609999999999999
87247,Luis Mejía,8,0,0,0,1.0,0.0,,,,
88112,Santiago Arias,11,0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,77.27272727272727,6.373333333333334
88300,Danilo,30,0,1,0,2.0,1.0,0.3333333333333333,0.75,91.44957137741828,6.695
88526,Casemiro,47,3,10,2,13.0,1.0,1.5294117647058822,1.6764705882352942,81.3125,7.083235294117646
89401,Granit Xhaka,46,2,4,6,10.0,0.0,1.0588235294117647,1.5735294117647058,85.97087339847644,7.116078431372548
89925,Lucas Digne,51,2,0,8,6.0,0.0,0.635386119257087,1.2046269143043338,84.15401545528046,6.802036493971978
90115,Aïssa Mandi,57,0,3,0,11.0,0.0,0.4686520376175548,1.366980146290491,90.36628719281846,6.788158829676071
90880,Kalidou Koulibaly,43,1,4,1,10.0,2.0,0.5,3.0,86.24557260920898,7.186
91909,Son Heung-Min,26,0,3,8,2.0,0.0,4.5,0.1538461538461538,89.64059196617336,6.7092307692307696
91978,Geoffrey Kondogbia,22,0,1,0,4.0,0.0,0.575,0.7,86.64125226625227,6.33125
91989,Juan Fernando Quintero,31,0,6,0,3.0,0.0,0.3333333333333333,,93.02325581395348,6.246666666666667
92051,Marcel Sabitzer,49,2,7,7,4.0,0.0,1.1923076923076923,0.4551282051282051,83.99048257469555,6.789535256410256
93700,Leandro Paredes,26,0,1,0,6.0,0.0,1.3333333333333333,0.6666666666666666,90.71428571428572,6.706666666666667
93894,Mateo Kovacic,13,0,0,1,0.0,0.0,0.6666666666666666,1.0,93.32675372001215,6.640555555555555
95408,Virgil van Dijk,68,1,11,3,7.0,0.0,1.152046783625731,3.6513157894736836,90.7350068849467,7.187258771929826
98126,Ante Budimir,47,3,21,1,6.0,0.0,2.491891891891892,3.075675675675676,52.525445292620866,6.920270270270271
98309,Igor Sergeev,5,0,2,0,0.0,0.0,,,,
99002,Ronwen Williams,53,0,0,0,2.0,0.0,,0.4583333333333333,79.08338972855101,6.487222222222222
100008,Victor Lindelöf,32,0,0,1,2.0,0.0,0.1764705882352941,1.3490196078431371,89.12166180273978,6.4878823529411775
100995,Alex Sandro,25,0,0,0,3.0,0.0,0.32692307692307687,1.0384615384615383,90.41641459971768,6.368846153846154
101374,John Stones,24,0,0,1,0.0,0.0,,1.5763888888888888,95.25717647708848,6.7217361111111105
101530,Ahmed Alaa,2,0,0,0,0.0,0.0,,,,
101859,Pierre-Emile Højbjerg,44,2,4,5,6.0,0.0,2.0625,1.28125,90.90608464052019,6.972604166666667
101949,Marquinhos,61,0,3,0,4.0,0.0,0.31031746031746027,2.4776190476190476,94.13030629394484,6.718952380952381
101955,Emerson,34,2,0,3,4.0,1.0,0.5357142857142857,1.1107142857142858,87.55879664256628,6.715928571428572
102023,Weverton,32,3,0,1,2.0,0.0,,0.2352941176470588,62.656511880114365,6.788529411764706
102248,Emiliano Martínez,69,4,0,1,3.0,0.0,,0.3409090909090909,76.82697873915718,6.998926767676768
103383,Gustavo Gómez,45,2,3,0,5.0,1.0,1.03125,2.375,84.88755873797271,6.8090625
103542,Yvon Mvogo,34,2,0,0,0.0,0.0,,0.3548387096774194,77.89661319073083,6.551935483870968
103622,Silvan Widmer,44,0,3,1,6.0,0.0,0.8703703703703703,0.8703703703703705,79.95818399044205,6.695925925925926
104010,Antonio Rüdiger,35,0,1,0,4.0,0.0,0.47698412698412695,1.5166666666666668,93.01421034794966,6.234007936507936
104368,Chancel Mbemba,29,0,1,1,5.0,0.0,0.5128205128205128,2.0961538461538463,89.4327537358463,6.953974358974359
104376,Thomas Meunier,47,2,3,5,5.0,0.0,0.6576785714285714,1.2369642857142857,83.60746113110338,6.879744642857143
104749,Riyad Mahrez,45,1,9,0,2.0,0.0,1.25,0.25,86.04651162790698,7.2725
105198,Brice Samba,35,2,0,0,5.0,0.0,,0.21875,77.44932432432432,6.615000000000002
107252,Alejandro Grimaldo,50,5,14,12,8.0,0.0,1.5785440613026822,0.464080459770115,88.78569826232506,7.527231800766283
107622,Jürgen Locadia,20,0,4,0,1.0,1.0,,,,
108073,Abdülkerim Bardakci,49,0,1,1,8.0,1.0,0.7113636363636363,2.164393939393939,87.78703596607792,6.981439393939395
108186,Raúl Jiménez,54,1,19,3,7.0,0.0,2.8518518518518516,3.3703703703703702,67.77681571731915,7.152222222222221
108226,Mohamed Salah,58,2,25,10,2.0,0.0,2.428395061728395,0.25432098765432093,77.18436844976598,7.138506172839507
109915,Sadio Mané,42,2,19,3,8.0,0.0,2.2857142857142856,0.7142857142857143,77.77777777777779,7.691428571428572
110032,Themba Zwane,25,0,1,0,0.0,1.0,0.3333333333333333,,82.0626003210273,5.625
110154,Memphis Depay,19,3,9,4,2.0,0.0,1.875,0.3125,81.7984720214743,7.21875
110189,Jordan Pickford,50,2,0,0,5.0,0.0,,0.131578947368421,71.34082310246313,6.584830827067669
110260,Sead Kolasinac,32,0,0,1,5.0,0.0,0.24561403508771926,0.7543859649122807,80.47862864253915,6.6507894736842115
110266,Rani Khedira,36,1,5,1,7.0,0.0,0.71875,1.1875,66.61585365853658,6.618749999999999
110373,Hakan Çalhanoglu,37,5,13,6,8.0,0.0,2.5265151515151514,1.0227272727272727,88.58812104406812,7.3847348484848485
111372,Vladimír Coufal,38,3,1,9,4.0,0.0,0.7352941176470589,1.0784313725490196,67.98043791489218,6.815392156862746
111560,Salem Al Dawsari,33,1,11,0,0.0,0.0,2.6666666666666665,,79.38144329896907,7.05
111779,Aníbal Godoy,30,0,0,1,7.0,0.0,0.0714285714285714,0.2142857142857142,93.2972972972973,6.403571428571428
111987,Abdulaziz Hatem,5,0,0,0,0.0,0.0,,,,
111998,Boualem Khoukhi,6,0,0,0,0.0,0.0,,,,
112080,Karim Boudiaf,2,0,0,0,0.0,0.0,,,,
113022,Cecilio Waterman,22,0,7,0,1.0,0.0,,,,
113645,Irfan Can Kahveci,34,2,3,3,8.0,0.0,0.859375,0.71875,76.61764705882354,6.4628749999999995
113994,Leandro Trossard,61,3,10,10,4.0,0.0,1.4943164362519201,0.2362333007494298,77.67645799720601,6.570003351487223
114075,N'Golo Kanté,46,1,4,1,3.0,0.0,0.5714285714285714,0.9285714285714285,91.23360562834803,7.363571428571429
114147,Alisson Becker,51,1,0,0,1.0,0.0,,0.282051282051282,81.40876963211257,6.7388034188034185
114686,Tim Payne,17,0,0,0,0.0,0.0,,,,
114845,Abdul Rahman Baba,27,0,1,1,3.0,0.0,0.7,0.5,82.21024258760107,6.58
115097,Douglas Santos,29,1,1,0,1.0,1.0,1.1304347826086956,1.434782608695652,82.50798722044729,6.923043478260872
115131,Mark Flekken,38,2,0,0,1.0,0.0,,0.375,74.87169455950264,6.789027777777778
115479,Wout Weghorst,17,0,1,0,3.0,0.0,0.5666666666666667,1.2166666666666668,69.44444444444443,6.177
115519,Leon Goretzka,60,0,6,4,6.0,0.0,0.982258064516129,1.1690860215053762,89.65569234655024,6.654645161290323
115726,Andy Robertson,49,0,3,3,1.0,0.0,0.37797619047619047,0.8720238095238095,83.7311421548403,6.629130952380953
115916,Fabinho,36,0,2,0,6.0,1.0,,,,
116609,Adrien Rabiot,80,8,14,8,14.0,2.0,1.1954022988505748,1.5919540229885059,89.06421873963234,6.9126053639846745
118837,Jackson Irvine,31,1,0,1,1.0,1.0,0.7916666666666666,1.9583333333333333,71.90684133915575,6.550416666666667
119109,Gervane Kastaneer,21,0,4,0,5.0,0.0,,,,
119120,Dominik Livakovic,31,0,0,0,1.0,0.0,,0.5714285714285714,77.34683210271244,6.599761904761905
119741,Joshua Brenet,30,0,0,3,1.0,0.0,0.24350649350649345,0.5227272727272727,77.81369731800767,6.237175324675325
119822,Neal Maupay,13,0,2,1,2.0,0.0,1.4166666666666667,0.75,90.95477386934672,6.2283333333333335
121241,Rodrigo Aguirre,19,0,7,0,3.0,0.0,,,,
121774,Ederson,50,2,0,0,8.0,1.0,,0.41666666666666663,76.93184109699537,6.476388888888889
121991,Saleh Al Shehri,28,0,3,0,1.0,0.0,,,,
122117,Aymeric Laporte,37,0,0,1,5.0,0.0,0.6333333333333333,1.7444444444444445,93.1240904984903,6.637244444444445
122266,Roberto Fernández,14,0,0,0,1.0,0.0,,,,
122714,José Sá,27,1,0,0,2.0,0.0,,0.7391304347826086,61.36653039340527,5.699130434782608
122945,Nathan Aké,41,0,0,0,1.0,0.0,0.4749999999999999,1.4066666666666667,92.55607078356105,6.619522222222223
122980,Arthur Masuaku,15,0,0,1,3.0,1.0,0.5277777777777778,0.7083333333333334,84.60251460918755,6.581041666666666
123099,Jason Geria,2,0,0,0,0.0,0.0,,,,
123577,Vozinha,31,0,0,0,0.0,0.0,,,,
123761,Bruno Fernandes,47,8,13,21,7.0,0.0,2.4761904761904763,0.5,85.1289026406107,7.571142857142857
124021,Phillipp Mwene,47,1,1,2,6.0,0.0,0.5149425287356322,0.44942528735632187,83.94607097720376,6.536609195402299
124939,Sascha Horvath,11,0,1,0,0.0,0.0,,,,
125375,Gerónimo Rulli,44,4,0,0,3.0,0.0,0.0333333333333333,0.375,76.75651647561759,6.820583333333333
125547,Rodrigo De Paul,45,1,4,5,8.0,0.0,1.3264957264957264,0.20512820512820512,85.9846305443033,6.906837606837605
126278,Juan Musso,21,0,0,0,3.0,0.0,,0.4375,67.65704584040748,7.095625
126434,Mohammed Muntari,3,0,0,0,0.0,0.0,,,,
126445,Jamshid Iskanderov,3,0,0,0,0.0,0.0,,,,
127148,Jonathan Osorio,25,0,1,3,6.0,0.0,0.38095238095238093,0.5,84.71662637657802,6.263650793650793
128627,Giorgian de Arrascaeta,35,1,9,3,1.0,0.0,1.6666666666666667,0.35000000000000003,81.05923694779116,6.732499999999999
128839,Morten Thorsby,32,1,3,4,5.0,0.0,0.7564102564102564,2.9213286713286712,69.87504514265078,6.5839860139860145
128882,Ryan Christie,38,1,5,0,5.0,1.0,0.8807692307692307,0.925,79.9484023862899,6.0648269230769225
128967,João Cancelo,43,3,5,5,8.0,0.0,1.078125,0.771875,86.53465365260193,7.166625
129171,Kaan Ayhan,30,0,1,0,2.0,0.0,0.3157894736842105,0.7894736842105262,84.96584287723527,6.165361842105263
129648,Steven Moreira,22,0,0,0,3.0,0.0,0.6428571428571429,0.5714285714285714,89.32655654383736,6.401428571428572
129832,Brandon Mechele,32,0,4,0,1.0,0.0,0.6,1.7333333333333334,95.31679578985101,6.7973333333333334
129903,Mario Pasalic,58,2,12,6,5.0,0.0,1.1524771524771527,1.0495430495430496,88.5203833950033,6.682919672919673
130812,Alexander Schlager,33,0,0,0,2.0,0.0,,0.5,80.28597079948192,6.299
133464,Jefferson Lerma,64,2,2,4,9.0,0.0,0.9598566308243727,2.032258064516129,79.33852246798178,6.9671541218638
133959,Riechedly Bazoer,20,0,0,0,5.0,1.0,0.2,0.6,89.40936863543789,6.048
134040,Max Crocombe,28,0,0,0,0.0,0.0,,0.4347826086956521,44.04292092755293,6.851521739130435
134240,Ivan Toney,38,0,33,0,5.0,0.0,,,,
134946,Jonathan Tah,64,0,4,3,12.0,0.0,0.21666666666666662,1.3232142857142857,94.4859263555793,6.761869047619047
135057,Antonio Sanabria,41,0,5,1,2.0,0.0,0.48,1.16,82.85714285714286,6.18
135098,Johan Mojica,52,0,0,4,7.0,1.0,0.4857142857142857,0.7452380952380953,81.52306648575305,6.690214285714285
135914,José María Giménez,42,3,1,2,8.0,0.0,0.7597222222222223,2.4614583333333333,89.2665846415401,6.628958333333333
136220,Yassine Bounou,49,2,0,0,2.0,0.0,,0.4,73.57725759690754,7.091000000000001
136262,Jean Michaël Seri,7,0,0,0,0.0,0.0,0.5,,95.76271186440678,6.6
136345,Youri Tielemans,47,1,6,8,3.0,0.0,1.5038888888888888,1.0811111111111111,87.28920965714474,7.039827777777777
136392,Théo Bongonda,11,1,1,0,0.0,0.0,1.375,0.5,81.14224137931035,6.4875
