Team_Name,Player_Name,Profile_Link,Player_ID
Brazil,Alisson Becker,https://www.whoscored.com/Players/114147/Show/Alisson-Becker,114147
Brazil,Bruno Guimarães,https://www.whoscored.com/Players/338780/Show/Bruno-Guimarães,338780
Brazil,Casemiro,https://www.whoscored.com/Players/88526/Show/Casemiro,88526
Brazil,Danilo Santos,https://www.whoscored.com/Players/399250/Show/Danilo-Santos,399250
Brazil,Danilo,https://www.whoscored.com/Players/88300/Show/Danilo,88300
Brazil,Douglas Santos,https://www.whoscored.com/Players/115097/Show/Douglas-Santos,115097
Brazil,Ederson,https://www.whoscored.com/Players/121774/Show/Ederson,121774
Brazil,Éderson Silva,https://www.whoscored.com/Players/362556/Show/Éderson-Silva,362556
Brazil,Endrick,https://www.whoscored.com/Players/445649/Show/Endrick,445649
Brazil,Fabinho,https://www.whoscored.com/Players/115916/Show/Fabinho,115916
Brazil,Gabriel Magalhães,https://www.whoscored.com/Players/334087/Show/Gabriel-Magalhães,334087
Brazil,Gabriel Martinelli,https://www.whoscored.com/Players/380706/Show/Gabriel-Martinelli,380706
Brazil,Bremer,https://www.whoscored.com/Players/339875/Show/Bremer,339875
Brazil,Igor Thiago,https://www.whoscored.com/Players/443784/Show/Igor-Thiago,443784
Brazil,Léo Pereira,https://www.whoscored.com/Players/146761/Show/Léo-Pereira,146761
Brazil,Lucas Paquetá,https://www.whoscored.com/Players/319756/Show/Lucas-Paquetá,319756
Brazil,Luiz Henrique,https://www.whoscored.com/Players/397587/Show/Luiz-Henrique,397587
Brazil,Marquinhos,https://www.whoscored.com/Players/101949/Show/Marquinhos,101949
Brazil,Matheus Cunha,https://www.whoscored.com/Players/362758/Show/Matheus-Cunha,362758
Brazil,Neymar,https://www.whoscored.com/Players/50835/Show/Neymar,50835
Brazil,Raphinha,https://www.whoscored.com/Players/300447/Show/Raphinha,300447
Brazil,Rayan,https://www.whoscored.com/Players/472122/Show/Rayan,472122
Brazil,Roger Ibañez,https://www.whoscored.com/Players/341525/Show/Roger-Ibañez,341525
Brazil,Vinícius Júnior,https://www.whoscored.com/Players/337782/Show/Vinícius-Júnior,337782
Brazil,Weverton,https://www.whoscored.com/Players/102023/Show/Weverton,102023
Brazil,USA v Paraguay,https://www.whoscored.com/Players/100936309/Show/USA-v-Paraguay,100936309
Brazil,Gustavo Velazquez,https://www.whoscored.com/Players/27242164264/Show/Gustavo-Velazquez,27242164264
Brazil,To Be Shown A Card,https://www.whoscored.com/Players/3584842520/Show/To-Be-Shown-A-Card,3584842520
Brazil,Julio Enciso,https://www.whoscored.com/Players/27241827505/Show/Julio-Enciso,27241827505
Brazil,Anytime Goalscorer,https://www.whoscored.com/Players/3584807133/Show/Anytime-Goalscorer,3584807133
Brazil,Junior Alonso,https://www.whoscored.com/Players/27242164344/Show/Junior-Alonso,27242164344
Brazil,Matias Galarza,https://www.whoscored.com/Players/27241827658/Show/Matias-Galarza,27241827658
England,Anthony Gordon,https://www.whoscored.com/Players/349669/Show/Anthony-Gordon,349669
England,Bukayo Saka,https://www.whoscored.com/Players/367185/Show/Bukayo-Saka,367185
England,Dan Burn,https://www.whoscored.com/Players/82277/Show/Dan-Burn,82277
England,Dean Henderson,https://www.whoscored.com/Players/304008/Show/Dean-Henderson,304008
England,Declan Rice,https://www.whoscored.com/Players/332325/Show/Declan-Rice,332325
England,Djed Spence,https://www.whoscored.com/Players/362219/Show/Djed-Spence,362219
England,Eberechi Eze,https://www.whoscored.com/Players/332403/Show/Eberechi-Eze,332403
England,Elliot Anderson,https://www.whoscored.com/Players/402596/Show/Elliot-Anderson,402596
England,Ezri Konsa,https://www.whoscored.com/Players/301440/Show/Ezri-Konsa,301440
England,Harry Kane,https://www.whoscored.com/Players/83532/Show/Harry-Kane,83532
England,Ivan Toney,https://www.whoscored.com/Players/134240/Show/Ivan-Toney,134240
England,James Trafford,https://www.whoscored.com/Players/404852/Show/James-Trafford,404852
England,Jarell Quansah,https://www.whoscored.com/Players/430019/Show/Jarell-Quansah,430019
England,John Stones,https://www.whoscored.com/Players/101374/Show/John-Stones,101374
England,Jordan Henderson,https://www.whoscored.com/Players/68659/Show/Jordan-Henderson,68659
England,Jordan Pickford,https://www.whoscored.com/Players/110189/Show/Jordan-Pickford,110189
England,Jude Bellingham,https://www.whoscored.com/Players/379868/Show/Jude-Bellingham,379868
England,Kobbie Mainoo,https://www.whoscored.com/Players/460260/Show/Kobbie-Mainoo,460260
England,Marc Guéhi,https://www.whoscored.com/Players/374631/Show/Marc-Guéhi,374631
England,Marcus Rashford,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,300299
England,Morgan Rogers,https://www.whoscored.com/Players/362824/Show/Morgan-Rogers,362824
England,Nico O'Reilly,https://www.whoscored.com/Players/468847/Show/Nico-O'Reilly,468847
